"word","snapshot"
"rtf1",2017-11-17
"ansi",2017-11-17
"ansicpg1252",2017-11-17
"cocoartf1404",2017-11-17
"cocoasubrtf470",2017-11-17
"fonttbl",2017-11-17
"f0",2017-11-17
"fmodern",2017-11-17
"fcharset0",2017-11-17
"courier",2017-11-17
"colortbl",2017-11-17
"red255",2017-11-17
"green255",2017-11-17
"blue255",2017-11-17
"paperw11900",2017-11-17
"paperh16840",2017-11-17
"margl1440",2017-11-17
"margr1440",2017-11-17
"vieww10800",2017-11-17
"viewh8400",2017-11-17
"viewkind0",2017-11-17
"pard",2017-11-17
"tx720",2017-11-17
"tx1440",2017-11-17
"tx2160",2017-11-17
"tx2880",2017-11-17
"tx3600",2017-11-17
"tx4320",2017-11-17
"fi360",2017-11-17
"sl288",2017-11-17
"slmult1",2017-11-17
"pardirnatural",2017-11-17
"partightenfactor0",2017-11-17
"f0",2017-11-17
"fs28",2017-11-17
"cf0",2017-11-17
"the",2017-11-17
"demons",2017-11-17
"persist",2017-11-17
"and",2017-11-17
"haunt",2017-11-17
"me",2017-11-17
"in",2017-11-17
"the",2017-11-17
"night",2017-11-17
"with",2017-11-17
"vivid",2017-11-17
"actions",2017-11-17
"and",2017-11-17
"in",2017-11-17
"the",2017-11-17
"day",2017-11-17
"with",2017-11-17
"a",2017-11-17
"cloak",2017-11-17
"that",2017-11-17
"suffocates",2017-11-17
"and",2017-11-17
"extinguishes",2017-11-17
"flashes",2017-11-17
"of",2017-11-17
"joy",2017-11-17
"and",2017-11-17
"to",2017-11-17
"combat",2017-11-17
"them",2017-11-17
"i",2017-11-17
"sit",2017-11-17
"at",2017-11-17
"the",2017-11-17
"desk",2017-11-17
"and",2017-11-17
"write",2017-11-17
"words",2017-11-17
"what",2017-11-17
"to",2017-11-17
"write",2017-11-17
"today",2017-11-17
"of",2017-11-17
"the",2017-11-17
"craft",2017-11-17
"of",2017-11-17
"experimental",2017-11-17
"art",2017-11-17
"perhaps",2017-11-17
"i",2017-11-17
"have",2017-11-17
"certainly",2017-11-17
"tilled",2017-11-17
"this",2017-11-17
"earth",2017-11-17
"before",2017-11-17
"and",2017-11-17
"even",2017-11-17
"planted",2017-11-17
"seeds",2017-11-17
"although",2017-11-17
"i",2017-11-17
"am",2017-11-17
"yet",2017-11-17
"to",2017-11-17
"harvest",2017-11-17
"perhaps",2017-11-17
"an",2017-11-17
"article",2017-11-17
"on",2017-11-17
"my",2017-11-17
"website",2017-11-17
"perhaps",2017-11-17
"i",2017-11-17
"must",2017-11-17
"define",2017-11-17
"an",2017-11-17
"experiment",2017-11-17
"that",2017-11-17
"is",2017-11-17
"achievable",2017-11-17
"in",2017-11-17
"the",2017-11-17
"next",2017-11-17
"seven",2017-11-17
"days",2017-11-17
"for",2017-11-17
"that",2017-11-17
"is",2017-11-17
"all",2017-11-17
"i",2017-11-17
"have",2017-11-17
"until",2017-11-17
"the",2017-11-17
"european",2017-11-17
"adventure",2017-11-17
"with",2017-11-17
"my",2017-11-17
"family",2017-11-17
"begins",2017-11-17
"ok",2017-11-17
"so",2017-11-17
"that",2017-11-17
"is",2017-11-17
"one",2017-11-17
"thing",2017-11-17
"to",2017-11-17
"do",2017-11-17
"devise",2017-11-17
"an",2017-11-17
"experiment",2017-11-17
"for",2017-11-17
"the",2017-11-17
"next",2017-11-17
"seven",2017-11-17
"days",2017-11-17
"perhaps",2017-11-17
"the",2017-11-17
"experiment",2017-11-17
"itself",2017-11-17
"can",2017-11-17
"be",2017-11-17
"how",2017-11-17
"to",2017-11-17
"measure",2017-11-17
"writing",2017-11-17
"output",2017-11-17
"yes",2017-11-17
"this",2017-11-17
"sounds",2017-11-17
"like",2017-11-17
"a",2017-11-17
"good",2017-11-17
"one",2017-11-17
"i",2017-11-17
"can",2017-11-17
"spend",2017-11-17
"time",2017-11-17
"learning",2017-11-17
"the",2017-11-17
"skills",2017-11-17
"to",2017-11-17
"measure",2017-11-17
"writing",2017-11-17
"output",2017-11-17
"to",2017-11-17
"set",2017-11-17
"up",2017-11-17
"the",2017-11-17
"workflow",2017-11-17
"that",2017-11-17
"can",2017-11-17
"then",2017-11-17
"be",2017-11-17
"applied",2017-11-17
"to",2017-11-17
"the",2017-11-17
"experiments",2017-11-17
"1",2017-11-17
"measuring",2017-11-17
"writing",2017-11-17
"out",2017-11-17
"the",2017-11-17
"experiment",2017-11-17
"for",2017-11-17
"next",2017-11-17
"7",2017-11-17
"days",2017-11-17
"2",2017-11-17
"the",2017-11-17
"novel",2017-11-17
"applying",2017-11-17
"this",2017-11-17
"method",2017-11-17
"over",2017-11-17
"a",2017-11-17
"long",2017-11-17
"period",2017-11-17
"of",2017-11-17
"time",2017-11-17
"3",2017-11-17
"one",2017-11-17
"hour",2017-11-17
"stories",2017-11-17
"it",2017-11-17
"makes",2017-11-17
"me",2017-11-17
"think",2017-11-17
"as",2017-11-17
"well",2017-11-17
"of",2017-11-17
"how",2017-11-17
"to",2017-11-17
"manage",2017-11-17
"unfinished",2017-11-17
"work",2017-11-17
"versus",2017-11-17
"published",2017-11-17
"perhaps",2017-11-17
"there",2017-11-17
"is",2017-11-17
"some",2017-11-17
"kind",2017-11-17
"of",2017-11-17
"way",2017-11-17
"i",2017-11-17
"can",2017-11-17
"do",2017-11-17
"this",2017-11-17
"as",2017-11-17
"well",2017-11-17
"the",2017-11-17
"science",2017-11-17
"feels",2017-11-17
"interesting",2017-11-17
"but",2017-11-17
"is",2017-11-17
"it",2017-11-17
"just",2017-11-17
"distraction",2017-11-17
"in",2017-11-17
"disguise",2017-11-17
"i",2017-11-17
"am",2017-11-17
"not",2017-11-17
"sure",2017-11-17
"i",2017-11-17
"am",2017-11-17
"equally",2017-11-17
"attracted",2017-11-17
"to",2017-11-17
"ourania",2017-11-17
"the",2017-11-17
"muse",2017-11-17
"of",2017-11-17
"learning",2017-11-17
"and",2017-11-17
"science",2017-11-17
"as",2017-11-17
"i",2017-11-17
"am",2017-11-17
"to",2017-11-17
"her",2017-11-17
"younger",2017-11-17
"sisters",2017-11-17
"you",2017-11-17
"enjoy",2017-11-17
"the",2017-11-17
"more",2017-11-17
"91pure",2017-11-17
"92",2017-11-17
"arts",2017-11-17
"of",2017-11-17
"writing",2017-11-17
"certainly",2017-11-17
"i",2017-11-17
"have",2017-11-17
"not",2017-11-17
"given",2017-11-17
"generously",2017-11-17
"to",2017-11-17
"the",2017-11-17
"muses",2017-11-17
"this",2017-11-17
"year",2017-11-17
"it",2017-11-17
"is",2017-11-17
"one",2017-11-17
"of",2017-11-17
"the",2017-11-17
"the",2017-11-17
"things",2017-11-17
"i",2017-11-17
"need",2017-11-17
"to",2017-11-17
"do",2017-11-17
"next",2017-11-17
"year",2017-11-17
"or",2017-11-17
"actually",2017-11-17
"85",2017-11-17
"right",2017-11-17
"now",2017-11-17
"experiment",2017-11-17
"clean",2017-11-17
"up",2017-11-17
"all",2017-11-17
"files",2017-11-17
"on",2017-11-17
"my",2017-11-17
"computer",2017-11-17
"experiment",2017-11-17
"reduce",2017-11-17
"all",2017-11-17
"books",2017-11-17
"and",2017-11-17
"gather",2017-11-17
"all",2017-11-17
"writing",2017-11-17
"books",2017-11-17
"discuss",2017-11-17
"the",2017-11-17
"benefits",2017-11-17
"of",2017-11-17
"digital",2017-11-17
"versus",2017-11-17
"analog",2017-11-17
"writing",2017-11-17
"process",2017-11-17
"2018",2017-11-17
"simple",2017-11-17
"goals",2017-11-17
"be",2017-11-17
"a",2017-11-17
"good",2017-11-17
"person",2017-11-17
"especially",2017-11-17
"to",2017-11-17
"phoebe",2017-11-17
"offer",2017-11-17
"myself",2017-11-17
"to",2017-11-17
"the",2017-11-17
"muses",2017-11-17
"by",2017-11-17
"becoming",2017-11-17
"85",2017-11-17
"an",2017-11-17
"experimental",2017-11-17
"artist",2017-11-17
"and",2017-11-17
"85",2017-11-17
"a",2017-11-17
"data",2017-11-17
"scientist",2017-11-17
"save",2017-11-17
"200",2017-11-17
"pounds",2017-11-17
"a",2017-11-17
"week",2017-11-17
"play",2017-11-17
"lots",2017-11-17
"of",2017-11-17
"role",2017-11-17
